level,composer,title
0,"Joe Hisaishi","My Neighbor Totoro - Main Theme (Melody only)"
0,"Joe Hisaishi","A Town with an Ocean View (5-finger version)"
0,"Joe Hisaishi","Ponyo on the Cliff by the Sea (Simple Melody)"
0,"Koji Kondo","Zelda's Lullaby (Simple Melody)"
0,"Junichi Masuda","Pokémon Center Theme (Simple Melody)"
0,"John Williams","Hedwig's Theme (First 8 bars, simplified)"
0,"Traditional","Twinkle Twinkle Little Star (as a basis for improv)"
0,"Junichi Masuda","Lavender Town Theme (Simple Melody)"
0,"Yasuharu Takanashi","Fairy Tail - Main Theme (Melody only)"
0,"Howard Shore","The Shire Theme / Concerning Hobbits (Simple Melody)"
0,"Jun Maeda","Dango Daikazoku (Clannad - Melody only)"
0,"Kazumi Totaka","Animal Crossing: New Horizons Theme (Melody only)"
0,"Kazumi Totaka","Mii Channel Theme (Melody only)"
0,"Toby Fox","Fallen Down (Undertale - Melody only)"
0,"Jun Ishikawa","Kirby's Dream Land - Green Greens (Melody only)"
0,"Yasunori Iwasaki","Jigglypuff's Song (Pokémon Anime)"
0,"Koji Kondo","Great Fairy Fountain (Zelda - Simple Arpeggio)"
0,"Joe Hisaishi","Spirited Away - Reprise (Simple Melody)"
0,"Koji Kondo","Kakariko Village (Zelda: A Link to the Past - Melody)"
0,"Yukari Hashimoto","Lost My Pieces (Toradora! - Simple Melody)"
0,"Eric Barone (ConcernedApe)","Stardew Valley Overture (Simple Melody)"
0,"Koji Kondo","Mario Underwater Theme (Super Mario Bros.)"
0,"Jun Ishikawa","Kirby's Victory Dance"
0,"Porno Graffitti","Opening Theme (My Hero Academia - The Day - Melody)"
0,"Junichi Masuda","Route 1 (Pokémon Red/Blue - Melody)"
0,"Shunsuke Kikuchi","Doraemon no Uta (Doraemon Theme)"
0,"Joe Hisaishi","Sanpo / Stroll (My Neighbor Totoro)"
0,"Kohei Tanaka","We Are! (One Piece - Melody)"
0,"Taro Umebayashi","Yuri on ICE (Melody only)"
0,"Hidetoshi Sato","A Cruel Angel's Thesis (Melody only)"
0,"Benj Pasek & Justin Paul","Misty's Song (Pokémon)"
0,"Takayuki Negishi","A Precious Thing (Cardcaptor Sakura)"
0,"Nobuo Uematsu","Chocobo Theme (Melody only)"
0,"Go Ichinose","Jirachi's Lullaby (Pokémon)"
0,"John Williams","The Imperial March (Simplified Melody)"
0,"Takashi Miki","Anpanman's March"
0,"Alan Menken","A Whole New World (Aladdin - Melody)"
0,"FLOW","Go!!! (Naruto - Melody)"
0,"Toby Fox","Home (Undertale - Simple Melody)"
0,"Kazumi Totaka","Title Theme (Animal Crossing: Wild World)"
0,"John Williams","Jurassic Park - Main Theme (Melody only)"
0,"John Williams","Star Wars - Main Theme (First Phrase)"
0,"James Horner","My Heart Will Go On (Titanic - Chorus Melody)"
0,"Kristen Anderson-Lopez & Robert Lopez","Let It Go (Frozen - Chorus Melody)"
0,"John Williams","Leaving Hogwarts (Simple Melody)"
0,"John Williams","Diagon Alley (Harry Potter - Melody Snippet)"
0,"Lin-Manuel Miranda","How Far I'll Go (Moana - Chorus Melody)"
0,"Kristen Anderson-Lopez & Robert Lopez","Remember Me (Coco - Melody)"
0,"Ludovico Einaudi","Nuvole Bianche (Opening Notes)"
0,"Yiruma","River Flows in You (Opening Motif)"
0,"Toshiro Masuda","Sadness and Sorrow (First Phrase)"
0,"Nobuo Uematsu","Aerith's Theme (Opening Notes)"
0,"John Williams","Princess Leia's Theme (Melody)"
0,"Solomon Linda","The Lion Sleeps Tonight (The Lion King)"
0,"Klaus Badelt","He's a Pirate (Melody only)"
0,"Richard Rodgers","Do-Re-Mi (The Sound of Music)"
0,"Koji Kondo","Super Mario Bros. Theme (Melody only)"
0,"Patty Hill & Mildred J. Hill","Happy Birthday to You"
0,"John Williams","Fawkes the Phoenix (Melody only)"
0,"John Williams","Double Trouble (Harry Potter - Melody)"
0,"John Williams","A Window to the Past (Simple Melody)"
0,"Leigh Harline","When You Wish Upon a Star (Pinocchio)"
0,"Elton John","Can You Feel the Love Tonight (The Lion King - Melody)"
0,"Alan Menken","Beauty and the Beast (Melody only)"
0,"David Newman","Once Upon a December (Anastasia - Melody)"
0,"Alan Menken","The Bells of Notre Dame (Hunchback of Notre Dame - Melody)"
0,"Elton John","Circle of Life (The Lion King - Melody)"
0,"Alan Menken","Colors of the Wind (Pocahontas - Melody)"
0,"John Williams","Hedwig's Theme (First 4 notes repeated)"
0,"Traditional","Baby Shark"
0,"Randy Newman","You've Got a Friend in Me (Toy Story - Melody)"
